lon,lat,name,code
-35.0,-6.9,Rio Tinto,2512903
-34.95,-6.9,Lucena,2508604
-34.9,-6.9,Lucena,2508604
-34.85,-6.9,Lucena,2508604
-38.7,-6.85,Cachoeira dos Índios,2503308
-38.65,-6.85,Bom Jesus,2502201
-38.6,-6.85,Cajazeiras,2503704
-38.55,-6.85,Cajazeiras,2503704
-38.5,-6.85,Cajazeiras,2503704
-38.45,-6.85,Cajazeiras,2503704
-38.4,-6.85,São João do Rio do Peixe,2500700
-38.35,-6.85,Marizópolis,2509156
-38.3,-6.85,Sousa,2516201
-38.25,-6.85,Sousa,2516201
-38.2,-6.85,Sousa,2516201
-38.15,-6.85,Sousa,2516201
-38.1,-6.85,Aparecida,2500775
-38.05,-6.85,Aparecida,2500775
-38.0,-6.85,São Domingos,2513968
-37.95,-6.85,São Domingos,2513968
-37.9,-6.85,Pombal,2512101
-37.85,-6.85,Pombal,2512101
-37.8,-6.85,Pombal,2512101
-37.75,-6.85,São Bentinho,2513927
-37.7,-6.85,São Bentinho,2513927
-37.65,-6.85,São Bentinho,2513927
-37.6,-6.85,Condado,2504504
-37.55,-6.85,Malta,2508802
-37.5,-6.85,São José de Espinharas,2514404
-37.45,-6.85,São José de Espinharas,2514404
-37.4,-6.85,São José de Espinharas,2514404
-37.35,-6.85,São José de Espinharas,2514404
-37.3,-6.85,São José de Espinharas,2514404
-37.25,-6.85,São José de Espinharas,2514404
-37.2,-6.85,São Mamede,2514909
-37.15,-6.85,São Mamede,2514909
-37.1,-6.85,São Mamede,2514909
-37.05,-6.85,São Mamede,2514909
-37.0,-6.85,Várzea,2517100
-36.95,-6.85,Santa Luzia,2513406
-36.9,-6.85,Santa Luzia,2513406
-36.85,-6.85,São José do Sabugi,2514701
-36.8,-6.85,São José do Sabugi,2514701
-36.75,-6.85,São José do Sabugi,2514701
-36.55,-6.85,São Vicente do Seridó,2515401
-36.5,-6.85,São Vicente do Seridó,2515401
-36.45,-6.85,São Vicente do Seridó,2515401
-36.4,-6.85,Pedra Lavrada,2511103
-36.35,-6.85,Cubati,2505006
-36.3,-6.85,Cubati,2505006
-36.25,-6.85,Barra de Santa Rosa,2501609
-36.2,-6.85,Barra de Santa Rosa,2501609
-36.15,-6.85,Barra de Santa Rosa,2501609
-36.1,-6.85,Barra de Santa Rosa,2501609
-36.05,-6.85,Barra de Santa Rosa,2501609
-36.0,-6.85,Barra de Santa Rosa,2501609
-35.95,-6.85,Algodão de Jandaíra,2500577
-35.9,-6.85,Algodão de Jandaíra,2500577
-35.85,-6.85,Algodão de Jandaíra,2500577
-35.8,-6.85,Arara,2500908
-35.75,-6.85,Arara,2500908
-35.7,-6.85,Arara,2500908
-35.65,-6.85,Serraria,2515906
-35.6,-6.85,Pilões,2511608
-35.55,-6.85,Pilõezinhos,2511707
-35.5,-6.85,Guarabira,2506301
-35.45,-6.85,Guarabira,2506301
-35.4,-6.85,Guarabira,2506301
-35.35,-6.85,Araçagi,2500809
-35.3,-6.85,Itapororoca,2507101
-35.25,-6.85,Itapororoca,2507101
-35.2,-6.85,Itapororoca,2507101
-35.15,-6.85,Mamanguape,2508901
-35.1,-6.85,Mamanguape,2508901
-35.05,-6.85,Rio Tinto,2512903
-35.0,-6.85,Rio Tinto,2512903
-34.95,-6.85,Rio Tinto,2512903
