lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-37.85,-7.6,Tavares,2516607,2.5087703086958126,5.94981053625404
-37.8,-7.6,Juru,2508000,2.5487277546694695,5.9508741865558825
-37.75,-7.6,Juru,2508000,2.5892349122677683,5.951883445776318
-37.2,-7.6,Ouro Velho,2510600,2.987606416822933,5.775040394991977
-37.15,-7.6,Ouro Velho,2510600,2.974851250020354,5.773254703354837
-37.1,-7.6,Ouro Velho,2510600,2.9633813309725823,5.769765988770414
-37.05,-7.6,Amparo,2500734,2.9532398736605385,5.764630386257372
-37.0,-7.6,Amparo,2500734,2.9441691178134075,5.758078106912551
-36.95,-7.6,Sumé,2516300,2.935730880486933,5.750438714551825
-36.9,-7.6,Sumé,2516300,2.9274554954360226,5.742053451684715
-36.85,-7.6,Sumé,2516300,2.9189416542795783,5.73321738845456
-36.8,-7.6,Serra Branca,2515500,2.9098942846604636,5.724158085090589
-36.75,-7.6,Serra Branca,2515500,2.900123475739364,5.715037693036461
-36.7,-7.6,Coxixola,2504850,2.8706748053814217,5.716289608271039
-36.65,-7.6,Coxixola,2504850,2.8572066781474623,5.703963944075302
-36.6,-7.6,Coxixola,2504850,2.823479605613503,5.62466167439466
-36.55,-7.6,São João do Cariri,2514008,2.815294995506086,5.615044579364669
-36.5,-7.6,São João do Cariri,2514008,2.8074472684704768,5.605474806208685
-36.45,-7.6,São Domingos do Cariri,2513943,2.8005666867766594,5.595997392337005
-36.4,-7.6,São Domingos do Cariri,2513943,2.7959711264760063,5.5866799531514415
-36.35,-7.6,Barra de São Miguel,2501708,2.798990270362642,5.423622260963021
-36.3,-7.6,Barra de São Miguel,2501708,2.808612746490506,5.424919410250932
-36.25,-7.6,Barra de São Miguel,2501708,2.8320595026893405,5.424477020846284
-36.2,-7.6,Boqueirão,2502508,2.8675151643950403,5.422565069454214
-36.15,-7.6,Boqueirão,2502508,2.888635394207965,5.2780510292641685
-36.1,-7.6,Boqueirão,2502508,2.9308324319772145,5.271177338070864
-36.05,-7.6,Alcantil,2500536,2.9746731010309015,5.264091933392715
-36.0,-7.6,Alcantil,2500536,3.01910877790142,5.256956370701808
-35.95,-7.6,Barra de Santana,2501575,3.0635749371785397,5.249680934837652
-35.9,-7.6,Barra de Santana,2501575,3.107660174855531,5.242022655598298
-35.85,-7.6,Gado Bravo,2506251,3.1509429697006546,5.233667729192271
-35.8,-7.6,Gado Bravo,2506251,3.1929369879132636,5.224353795745839
-35.75,-7.6,Gado Bravo,2506251,3.233114665282264,5.214025786720344
-35.7,-7.6,Aroeiras,2501302,3.2709711557264383,5.202923726013448
-35.65,-7.6,Aroeiras,2501302,3.3060877487564126,5.1915099407933845
